id,Name,Position,Height,Weight,Age,GP,REB,AST,STL,BLK,PTS,Salary
289,"Moritz Wagner",C,211,111,26,45,146,50,26,18,310,2000
290,"Damyean Dotson",G,196,95,28,46,93,91,16,4,308,2000
291,"Kevin Love",F,203,114,34,25,186,63,16,2,305,2000
292,"Precious Achiuwa",C,203,102,23,61,208,29,20,28,304,2000
293,"Juan Toscano-Anderson",F,198,95,30,53,235,150,41,26,301,2000
294,"Tony Bradley",C,211,112,25,42,239,37,15,30,300,2000
295,"Ish Smith",G,183,79,34,44,150,172,32,13,295,2000
296,"Grant Williams",F,198,107,24,63,178,64,32,24,294,2000
297,"DeAndre' Bembry",G,196,95,27,51,146,107,53,18,293,2000
298,"Hassan Whiteside",C,213,120,33,36,215,20,9,46,293,2000
299,"Cam Reddish",F,201,98,23,26,104,35,33,9,292,2000
300,"Austin Rivers",G,193,91,30,36,82,81,30,2,285,2000
301,"Sekou Doumbouya",F,206,104,21,56,143,47,24,9,285,2000
302,"Trevor Ariza",G,203,98,37,30,144,55,31,18,282,2000
303,"Willie Cauley-Stein",C,213,109,28,53,236,35,21,43,280,2000
304,"Wesley Matthews",F,196,100,36,58,93,54,38,17,279,2000
305,"Patrick Beverley",G,188,82,34,37,119,76,29,28,278,2000
306,"David Nwaba",G,196,99,29,30,118,31,30,21,276,2000
307,"Andre Iguodala",F,198,98,39,63,221,142,57,35,275,2000
308,"Michael Carter-Williams",G,196,86,31,31,139,129,25,17,274,2000
309,"Torrey Craig",F,201,100,32,50,197,49,28,27,274,2000
310,"Otto Porter Jr.",F,203,90,30,28,152,55,16,4,271,2000
311,"Saben Lee",G,188,83,24,48,97,174,32,13,267,2000
312,"Stanley Johnson",F,198,110,27,61,153,89,52,18,267,2000
313,"Chasson Randle",G,188,84,28,41,82,74,22,5,266,2000
314,"Caleb Martin",F,196,93,27,53,141,67,37,12,264,2000
315,"Marc Gasol",C,211,116,36,52,215,109,26,58,262,2000
316,"George Hill",G,193,85,37,30,61,73,23,5,261,2000
317,"Semi Ojeleye",F,198,109,27,56,147,37,17,0,260,2000
318,"Gorgui Dieng",C,208,112,33,38,140,48,26,16,258,2000
319,"Jordan McLaughlin",G,183,84,27,51,108,193,51,6,256,2000
320,"Mitchell Robinson",C,213,109,25,31,252,17,35,45,256,2000
321,"Matisse Thybulle",G,196,91,26,65,124,63,105,71,255,2000
322,"Obi Toppin",F,206,100,25,62,138,29,17,15,253,1500
323,"Kevon Looney",C,206,101,27,61,322,119,21,22,251,1500
324,"Tony Snell",G,198,97,30,47,112,59,13,11,249,1500
325,"Jevon Carter",G,185,91,27,60,92,71,29,9,248,1500
326,"Naji Marshall",F,201,100,25,32,148,88,26,10,246,1500
327,"Rodney Hood",F,203,94,29,55,103,53,24,7,246,1500
328,"Justin Jackson",F,203,100,28,34,77,52,15,2,245,1500
329,"Gabe Vincent",G,188,91,27,50,56,67,21,2,242,1500
330,"Nemanja Bjelica",F,206,106,34,37,127,69,15,5,242,1500
331,"Rajon Rondo",G,185,82,36,45,110,199,37,4,242,1500
332,"Taj Gibson",C,206,105,38,45,250,36,31,49,241,1500
333,"Isaiah Hartenstein",C,213,113,25,46,181,55,19,39,236,1500
334,"Max Strus",F,196,98,27,39,41,24,11,2,236,1500
335,"Goga Bitadze",C,211,113,23,45,150,37,9,60,231,1500
336,"Jake Layman",F,203,95,28,45,67,28,29,19,231,1500
337,"Oshae Brissett",F,201,95,25,21,115,18,19,20,229,1500
338,"Brandon Goodwin",F,183,82,26,47,69,95,17,0,228,1500
339,"Onyeka Okongwu",C,206,109,22,50,163,18,23,33,228,1500
340,"Chimezie Metu",F,206,102,26,36,112,28,14,18,226,1500
341,"Armoni Brooks",G,191,88,24,20,68,30,12,5,223,1500
